Index,Date,Open,High,Low,Close,Adj Close,Volume
154,10/1/13,9.95,13.5,9.07,12.68,12.68,2149500
155,11/1/13,12.87,13.48,12.2,13.19,13.19,862600
156,12/1/13,13.07,16.610001,12.2,15.01,15.01,2365300
157,1/1/14,14.88,14.92,13,13.63,13.63,1077600
158,2/1/14,13.7,24.959999,11.19,23.66,23.66,2740500
159,3/1/14,22.879999,28.01,22.01,24.67,24.67,5738400
160,4/1/14,24.549999,24.58,20,22.5,22.5,5148900
161,5/1/14,22.559999,22.57,15.52,21.41,21.41,4910300
162,6/1/14,21.360001,24.18,19.700001,23.200001,23.200001,5743400
163,7/1/14,23.23,24.1,17.99,18,18,4255800
164,8/1/14,17.98,22.26,16.83,21.24,21.24,5480800
165,9/1/14,21.200001,21.200001,15.61,16.1,16.1,4540000
166,10/1/14,16.01,16.190001,12.12,16.139999,16.139999,6651100
167,11/1/14,16.1,16.66,10.75,10.85,10.85,10812300
168,12/1/14,10.8,11.48,9.26,11.22,11.22,6984700
169,1/1/15,11.28,11.28,8.17,8.94,8.94,4609700
170,2/1/15,8.97,12.66,8.63,12.48,12.48,5019500
171,3/1/15,12.5,14.46,11.87,13.88,13.88,5383100
172,4/1/15,13.83,15.47,12.75,14.28,14.28,4957000
173,5/1/15,14.09,19.35,13.21,17.860001,17.860001,6572400
174,6/1/15,17.790001,19.99,17.049999,17.360001,17.360001,6511400
175,7/1/15,17.59,20.93,15.54,19.450001,19.450001,7476600
176,8/1/15,19.59,22.790001,17.99,20.610001,20.610001,12187300
177,9/1/15,20.129999,22.4,16.67,18.780001,18.780001,7081000
178,10/1/15,18.74,21.59,17.16,20.620001,20.620001,6798300
179,11/1/15,20.620001,21.18,15.73,18.75,18.75,9749300
180,12/1/15,18.780001,18.9,16.5,17.16,17.16,4933600
181,1/1/16,16.959999,17.1,11.34,16.370001,16.370001,6332200
182,2/1/16,15.9,18.959999,13.83,17.99,17.99,6163900
183,3/1/16,18.17,18.790001,14.64,14.91,14.91,5568600
184,4/1/16,14.72,16.48,10.65,11.2,11.2,12473500
185,5/1/16,11.21,11.37,8.08,10.55,10.55,11256400
186,6/1/16,10.5,11.64,9.07,11.15,11.15,8061700
187,7/1/16,11.1,13.52,10.34,11.84,11.84,4705300
188,8/1/16,11.75,17.25,11.6,16.85,16.85,10161900
189,9/1/16,16.940001,22.469999,16.639999,22.209999,22.209999,11543500
190,10/1/16,22,24.18,19.15,19.23,19.23,5932600
191,11/1/16,19.25,27.280001,18.85,24.77,24.77,11980600
192,12/1/16,24.790001,26.26,22.903999,23.440001,23.440001,6502500
