Date,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31
TotalAssets,4.62675E+11,4.20549E+11,3.21195E+11,2.25248E+11,1.62648E+11,1.3131E+11,83402000000,65444000000,54505000000,40159000000,32555000000,25278000000,18797000000,13813000000,8314000000,6485000000,4363000000,3696000000,3248508000,2162033000,1990449000,1637547000,2135169000,2471551000,648460000,149000000,8300000
"	CurrentAssets",1.46791E+11,1.6158E+11,1.32733E+11,96334000000,75101000000,60197000000,45781000000,36474000000,31327000000,24625000000,21296000000,17490000000,13747000000,9797000000,6157000000,5164000000,3373000000,2929000000,2539396000,1820809000,1615676000,1207920000,1361129000,1012178000,424254000,137300000,7100000
"		CashCashEquivalentsAndShortTermInvestments",70026000000,96049000000,84396000000,55021000000,41250000000,30986000000,25981000000,19808000000,17416000000,12447000000,11448000000,9576000000,8762000000,6366000000,3727000000,3112000000,2019000000,2000000000,1779199000,1394823000,1300969000,996585000,1100522000,706188000,373445000,109800000,6200000
"			CashAndCashEquivalents",53888000000,36220000000,42122000000,36092000000,31750000000,20522000000,19334000000,15890000000,14557000000,8658000000,8084000000,5269000000,3777000000,3444000000,2769000000,2539000000,1022000000,1013000000,1302600000,1102273000,738254000,540282000,822435000,116962000,25561000,109800000,6200000
"				CashFinancial",,,,,,,,,,,,,,,,,,,407906000,427306000,,149968000,141922000,116962000,25561000,,
"				CashEquivalents",,,,,,,,,,,,,,,,,,,894694000,674967000,,390314000,680513000,,,,
"			OtherShortTermInvestments",16138000000,59829000000,42274000000,18929000000,9500000000,10464000000,6647000000,3918000000,2859000000,3789000000,3364000000,4307000000,4985000000,2922000000,958000000,573000000,997000000,987000000,476599000,292550000,562715000,456303000,278087000,589226000,347884000,,
"		Receivables",42360000000,32891000000,24542000000,20816000000,16677000000,13164000000,8339000000,6423000000,5612000000,4767000000,3364000000,2571000000,1587000000,988000000,827000000,705000000,399000000,274000000,199100000,132069000,112282000,,,,,,
"			AccountsReceivable",42360000000,32891000000,24542000000,20816000000,16677000000,13164000000,8339000000,6423000000,5612000000,4767000000,3364000000,2571000000,1587000000,988000000,827000000,705000000,399000000,274000000,199100000,132069000,112282000,,,,,,
"				GrossAccountsReceivable",43760000000,33891000000,25542000000,21534000000,17172000000,13512000000,8576000000,6612000000,5802000000,4920000000,3480000000,,,1060000000,908000000,769000000,439000000,317000000,,,,,,,,,
"				AllowanceForDoubtfulAccountsReceivable",-1400000000,-1000000000,-1000000000,-718000000,-495000000,-348000000,-237000000,-189000000,-190000000,-153000000,-116000000,,,-72000000,-81000000,-64000000,-40000000,-43000000,,,,,,,,,
"		Inventory",34405000000,32640000000,23795000000,20497000000,17174000000,16047000000,11461000000,10243000000,8299000000,7411000000,6031000000,4992000000,3202000000,2171000000,1399000000,1200000000,877000000,566000000,479709000,293917000,202425000,143722000,174563000,220646000,29501000,9000000,600000
"			FinishedGoods",,32640000000,23795000000,20497000000,17174000000,16047000000,11461000000,10243000000,8299000000,7411000000,6031000000,4992000000,3202000000,2171000000,1399000000,1200000000,877000000,566000000,479709000,293917000,202425000,143722000,174563000,220646000,29501000,,
"		PrepaidAssets",,,,,,,,,,,,,,,,,,,,,,67613000,86044000,85344000,21308000,,
"		CurrentDeferredAssets",,,,,,,,,,,453000000,351000000,196000000,272000000,204000000,147000000,78000000,89000000,81388000,,,,,,,,
"			CurrentDeferredTaxesAssets",,,,,,,,,,,453000000,351000000,196000000,272000000,204000000,147000000,78000000,89000000,81388000,,,,,,,,
"		OtherCurrentAssets",,,,,,,,,,,,,,,,,,,,,,,,,,18500000,300000
"	TotalNonCurrentAssets",3.15884E+11,2.58969E+11,1.88462E+11,1.28914E+11,87547000000,71113000000,37621000000,28970000000,23178000000,15534000000,11259000000,7788000000,5050000000,4016000000,2157000000,1321000000,990000000,767000000,709112000,341224000,374773000,429627000,774040000,1459373000,224206000,11700000,1200000
