name,ttm,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96
OperatingCashFlow,46752000000.00,46752000000.00,46327000000.00,66064000000.00,38514000000.00,30723000000.00,18434000000.00,16443000000.00,11920000000.00,6842000000.00,5475000000.00,4180000000.00,3903000000.00,3495000000.00,3293000000.00,1697000000.00,1405000000.00,702000000.00,733000000.00,566560000.00,392022000.00,174291000.00,-119782000.00,-130442000.00,-90875000.00,31035000.00,3500000.00,-1700000.00
"	CashFlowFromContinuingOperatingActivities",46752000000.00,46752000000.00,46327000000.00,66064000000.00,38514000000.00,30723000000.00,18434000000.00,16443000000.00,11920000000.00,6842000000.00,5475000000.00,4180000000.00,3903000000.00,3495000000.00,3293000000.00,1697000000.00,1405000000.00,702000000.00,733000000.00,566560000.00,392022000.00,174291000.00,-119782000.00,-130442000.00,-90875000.00,31035000.00,3500000.00,-1700000.00
"		NetIncomeFromContinuingOperations",-2722000000.00,-2722000000.00,33364000000.00,21331000000.00,11588000000.00,10073000000.00,3033000000.00,2371000000.00,596000000.00,-241000000.00,274000000.00,-39000000.00,631000000.00,1152000000.00,902000000.00,645000000.00,476000000.00,190000000.00,359000000.00,588451000.00,35282000.00,-149132000.00,-567277000.00,-1411273000.00,-719968000.00,-124546000.00,-27600000.00,-5800000.00
"		OperatingGainsLosses",,,,,,,,,5000000.00,-3000000.00,1000000.00,-9000000.00,-4000000.00,-2000000.00,-4000000.00,-2000000.00,1000000.00,-2000000.00,-36000000.00,4703000.00,-9162000.00,86641000.00,9945000.00,446955000.00,85457000.00,47065000.00,,
"			NetForeignCurrencyExchangeGainLoss",,,,,,,,,,,,,,,,,,,-43000000.00,24492000.00,,103136000.00,-46613000.00,,,,,
"			GainLossOnInvestmentSecurities",,,,,,,,,5000000.00,-3000000.00,1000000.00,-9000000.00,-4000000.00,-2000000.00,-4000000.00,-2000000.00,1000000.00,-2000000.00,1000000.00,-25461000.00,-9598000.00,-20664000.00,26231000.00,142359000.00,8688000.00,,,
"			EarningsLossesFromEquityInvestments",,,,,,,,,,,,,,,,,,,,,436000.00,4169000.00,30327000.00,304596000.00,76769000.00,,,
"		DepreciationAmortizationDepletion",41921000000.00,41921000000.00,34296000000.00,25251000000.00,21789000000.00,15341000000.00,11478000000.00,8116000000.00,6281000000.00,4746000000.00,3253000000.00,2159000000.00,1083000000.00,568000000.00,378000000.00,287000000.00,246000000.00,205000000.00,121000000.00,75724000.00,78310000.00,87752000.00,265742000.00,406232000.00,251500000.00,9692000.00,4700000.00,300000.00
"			DepreciationAndAmortization",41921000000.00,41921000000.00,34296000000.00,25251000000.00,21789000000.00,15341000000.00,11478000000.00,8116000000.00,6281000000.00,4746000000.00,3253000000.00,2159000000.00,1083000000.00,568000000.00,378000000.00,287000000.00,246000000.00,205000000.00,121000000.00,75724000.00,78310000.00,87752000.00,265742000.00,406232000.00,251500000.00,9692000.00,4700000.00,300000.00
"				Depreciation",41921000000.00,41921000000.00,,,,,,,,,,,1083000000.00,568000000.00,378000000.00,287000000.00,246000000.00,205000000.00,,,75558000.00,82274000.00,84709000.00,84460000.00,36806000.00,9692000.00,,
"				AmortizationCashFlow",,,,,,,,,,,,,,,,,,,,,2752000.00,5478000.00,181033000.00,321772000.00,214694000.00,2386000.00,,
"					AmortizationOfIntangibles",,,,,,,,,,,,,,,,,,,,,2752000.00,5478000.00,181033000.00,321772000.00,214694000.00,2386000.00,,
"		DeferredTax",-8148000000.00,-8148000000.00,-310000000.00,-554000000.00,796000000.00,441000000.00,-29000000.00,-246000000.00,81000000.00,-316000000.00,-156000000.00,-265000000.00,136000000.00,4000000.00,81000000.00,-5000000.00,-99000000.00,22000000.00,70000000.00,-256696000.00,,,,,,,,
"			DeferredIncomeTax",-8148000000.00,-8148000000.00,-310000000.00,-554000000.00,796000000.00,441000000.00,-29000000.00,-246000000.00,81000000.00,-316000000.00,-156000000.00,-265000000.00,136000000.00,4000000.00,81000000.00,-5000000.00,-99000000.00,22000000.00,70000000.00,-256696000.00,,,,,,,,
"		AssetImpairmentCharge",,,,,,,,,,,,,,,,,,,,-4465000.00,,8101000.00,43588000.00,200311000.00,,,,
"		StockBasedCompensation",19621000000.00,19621000000.00,12757000000.00,9208000000.00,6864000000.00,5418000000.00,4215000000.00,2975000000.00,2119000000.00,1497000000.00,1134000000.00,833000000.00,557000000.00,424000000.00,341000000.00,275000000.00,185000000.00,101000000.00,87000000.00,57702000.00,87751000.00,68927000.00,4637000.00,24797000.00,30618000.00,2386000.00,,
"		ExcessTaxBenefitFromStockBasedCompensation",,,,,,,,-829000000.00,-119000000.00,-6000000.00,-78000000.00,-429000000.00,-62000000.00,-259000000.00,-105000000.00,-159000000.00,-257000000.00,-102000000.00,,,,,,,,,,
"		OtherNonCashItems",16966000000.00,16966000000.00,-14169000000.00,-2653000000.00,-85000000.00,493000000.00,-90000000.00,-9836000000.00,-5709000000.00,-3501000000.00,-2012000000.00,-1114000000.00,-923000000.00,-878000000.00,-501000000.00,-402000000.00,-190000000.00,-176000000.00,-170000000.00,-110094000.00,30839000.00,-103211000.00,-47763000.00,-83445000.00,31406000.00,71035000.00,100000.00,100000.00
"		ChangeInWorkingCapital",-20886000000.00,-20886000000.00,-19611000000.00,13481000000.00,-2438000000.00,-1043000000.00,-173000000.00,13892000000.00,8666000000.00,4666000000.00,3059000000.00,3044000000.00,2485000000.00,2486000000.00,2201000000.00,1058000000.00,1043000000.00,464000000.00,302000000.00,211235000.00,169002000.00,175213000.00,171346000.00,285981000.00,230112000.00,72468000.00,26300000.00,3700000.00
"			ChangeInReceivables",-21897000000.00,-21897000000.00,-18163000000.00,-8169000000.00,-7681000000.00,-4615000000.00,-4786000000.00,-3367000000.00,-1755000000.00,-1039000000.00,-846000000.00,-861000000.00,-866000000.00,-295000000.00,-481000000.00,-218000000.00,-255000000.00,-103000000.00,-84000000.00,-1745000.00,305000.00,-32948000.00,,,,,,
"				ChangesInAccountReceivables",,,-18163000000.00,-8169000000.00,-7681000000.00,-4615000000.00,-4786000000.00,-3367000000.00,-1755000000.00,-1039000000.00,-846000000.00,-861000000.00,-866000000.00,-295000000.00,-481000000.00,-218000000.00,-255000000.00,-103000000.00,,,,,,,,,,
"			ChangeInInventory",-2592000000.00,-2592000000.00,-9487000000.00,-2849000000.00,-3278000000.00,-1314000000.00,-3583000000.00,-1426000000.00,-2187000000.00,-1193000000.00,-1410000000.00,-999000000.00,-1777000000.00,-1019000000.00,-531000000.00,-232000000.00,-303000000.00,-282000000.00,-104000000.00,-168896000.00,-76786000.00,-51303000.00,30628000.00,46083000.00,-172069000.00,-20513000.00,-8400000.00,-600000.00
"			ChangeInPrepaidAssets",,,,,,,,,,,,,,,,,,,,,,,20732000.00,-8585000.00,-60628000.00,-16758000.00,,
"			ChangeInPayablesAndAccruedExpense",1387000000.00,1387000000.00,5725000000.00,23234000000.00,6810000000.00,3735000000.00,7458000000.00,6754000000.00,5207000000.00,2465000000.00,2624000000.00,3108000000.00,4064000000.00,3113000000.00,2159000000.00,1059000000.00,1357000000.00,643000000.00,334000000.00,271940000.00,143842000.00,164060000.00,5248000.00,150665000.00,462547000.00,88291000.00,29800000.00,4800000.00
"				ChangeInPayable",2945000000.00,2945000000.00,3602000000.00,17480000000.00,8193000000.00,3263000000.00,7175000000.00,5030000000.00,4294000000.00,1759000000.00,1888000000.00,2070000000.00,2997000000.00,2373000000.00,1859000000.00,812000000.00,928000000.00,402000000.00,274000000.00,286091000.00,167732000.00,156542000.00,-44438000.00,22357000.00,330166000.00,78674000.00,,
"					ChangeInAccountPayable",2945000000.00,2945000000.00,3602000000.00,17480000000.00,8193000000.00,3263000000.00,7175000000.00,5030000000.00,4294000000.00,1759000000.00,1888000000.00,2070000000.00,2997000000.00,2373000000.00,1859000000.00,812000000.00,928000000.00,402000000.00,274000000.00,286091000.00,167732000.00,156542000.00,-44438000.00,22357000.00,330166000.00,78674000.00,,
"				ChangeInAccruedExpense",-1558000000.00,-1558000000.00,2123000000.00,5754000000.00,-1383000000.00,472000000.00,283000000.00,1724000000.00,913000000.00,706000000.00,736000000.00,1038000000.00,1067000000.00,740000000.00,300000000.00,247000000.00,429000000.00,241000000.00,60000000.00,-14151000.00,-23890000.00,7518000.00,49686000.00,128308000.00,132381000.00,9617000.00,,
"					ChangeInInterestPayable",,,,,,,,,,,,,,,,,,,,959000.00,1850000.00,3027000.00,-345000.00,34341000.00,24878000.00,,,
"			ChangeInOtherCurrentAssets",,,,,,,,,,,,,,,,,,,,,,,,,,-293000.00,-3000000.00,-500000.00
"			ChangeInOtherCurrentLiabilities",,,,,,,,,,,,,,,,,,,67000000.00,-11101000.00,-33989000.00,-29544000.00,164424000.00,226126000.00,132643000.00,21448000.00,7900000.00,
"			ChangeInOtherWorkingCapital",2216000000.00,2216000000.00,2314000000.00,1265000000.00,1711000000.00,1151000000.00,738000000.00,11931000000.00,7401000000.00,4433000000.00,2691000000.00,1796000000.00,1064000000.00,687000000.00,1054000000.00,449000000.00,244000000.00,206000000.00,156000000.00,109936000.00,101641000.00,95404000.00,114738000.00,97818000.00,262000.00,,,
InvestingCashFlow,-37601000000.00,-37601000000.00,-58154000000.00,-59611000000.00,-24281000000.00,-12369000000.00,-27819000000.00,-9876000000.00,-6450000000.00,-5065000000.00,-4276000000.00,-3595000000.00,-1930000000.00,-3360000000.00,-2337000000.00,-1199000000.00,42000000.00,-333000000.00,-778000000.00,-317631000.00,236651000.00,-121684000.00,-253294000.00,163978000.00,-922284000.00,-261777000.00,-22500000.00,-1200000.00
