name,ttm,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96
TotalRevenue,513983000000.00,513983000000.00,469822000000.00,386064000000.00,280522000000.00,232887000000.00,177866000000.00,135987000000.00,107006000000.00,88988000000.00,74452000000.00,61093000000.00,48077000000.00,34204000000.00,24509000000.00,19166000000.00,14835000000.00,10711000000.00,8490000000.00,6921124000.00,5263699000.00,3932936000.00,3122433000.00,2761983000.00,1639839000.00,609996000.00,147800000.00,15700000.00
"	OperatingRevenue",513983000000.00,513983000000.00,469822000000.00,386064000000.00,280522000000.00,232887000000.00,177866000000.00,135987000000.00,107006000000.00,88988000000.00,74452000000.00,61093000000.00,48077000000.00,34204000000.00,24509000000.00,19166000000.00,14835000000.00,10711000000.00,8490000000.00,6921124000.00,5263699000.00,3932936000.00,3122433000.00,2761983000.00,1639839000.00,609996000.00,147800000.00,15700000.00
CostOfRevenue,446343000000.00,446343000000.00,403507000000.00,334564000000.00,241699000000.00,202020000000.00,159803000000.00,121969000000.00,97601000000.00,82793000000.00,69331000000.00,56954000000.00,44773000000.00,31193000000.00,22270000000.00,17587000000.00,13592000000.00,9854000000.00,7647000000.00,6160719000.00,4691372000.00,3548402000.00,2939290000.00,2375532000.00,1508916000.00,476155000.00,114200000.00,12000000.00
GrossProfit,67640000000.00,67640000000.00,66315000000.00,51500000000.00,38823000000.00,30867000000.00,18063000000.00,14018000000.00,9405000000.00,6195000000.00,5121000000.00,4139000000.00,3304000000.00,3011000000.00,2239000000.00,1579000000.00,1243000000.00,857000000.00,843000000.00,760405000.00,572327000.00,384534000.00,183143000.00,386451000.00,130923000.00,133841000.00,33600000.00,3700000.00
OperatingExpense,55392000000.00,55392000000.00,41436000000.00,28601000000.00,24282000000.00,18446000000.00,13957000000.00,9832000000.00,7172000000.00,6017000000.00,4376000000.00,3463000000.00,2442000000.00,1605000000.00,1110000000.00,737000000.00,588000000.00,468000000.00,411000000.00,319980000.00,298840000.00,273359000.00,232782000.00,728248000.00,513912000.00,195629000.00,62700000.00,9700000.00
"	SellingGeneralAndAdministration",54129000000.00,54129000000.00,41374000000.00,28676000000.00,24081000000.00,18150000000.00,13743000000.00,9665000000.00,7001000000.00,5884000000.00,4262000000.00,3304000000.00,2288000000.00,1499000000.00,1008000000.00,761000000.00,579000000.00,458000000.00,364000000.00,327944000.00,298840000.00,273359000.00,232782000.00,728248000.00,513912000.00,148822000.00,45500000.00,9400000.00
"		GeneralAndAdministrativeExpense",11891000000.00,11891000000.00,8823000000.00,6668000000.00,5203000000.00,4336000000.00,3674000000.00,2432000000.00,1747000000.00,1552000000.00,1129000000.00,896000000.00,658000000.00,470000000.00,328000000.00,279000000.00,235000000.00,195000000.00,166000000.00,169922000.00,176053000.00,147976000.00,94499000.00,133759000.00,100762000.00,15799000.00,,
"			SalariesAndWages",,,,,,,,,,,,,,,,,,,,57702000.00,87751000.00,68927000.00,4637000.00,24797000.00,30618000.00,,,
"			OtherGandA",11891000000.00,11891000000.00,8823000000.00,6668000000.00,5203000000.00,4336000000.00,3674000000.00,2432000000.00,1747000000.00,1552000000.00,1129000000.00,896000000.00,658000000.00,470000000.00,328000000.00,279000000.00,235000000.00,195000000.00,166000000.00,112220000.00,88302000.00,79049000.00,89862000.00,108962000.00,70144000.00,15799000.00,,
"		SellingAndMarketingExpense",42238000000.00,42238000000.00,32551000000.00,22008000000.00,18878000000.00,13814000000.00,10069000000.00,7233000000.00,5254000000.00,4332000000.00,3133000000.00,2408000000.00,1630000000.00,1029000000.00,680000000.00,482000000.00,344000000.00,263000000.00,198000000.00,158022000.00,122787000.00,125383000.00,138283000.00,594489000.00,413150000.00,133023000.00,,
