Index,Date,Open,High,Low,Close,Adj Close,Volume
1,1/1/01,10790.92,11028,10468.04,10887.36,10887.36,5825960000
2,2/1/01,10884.82,11035.14,10294.01,10495.28,10495.28,4164820000
3,3/1/01,10493.25,10859.5,9106.54,9878.78,9878.78,6086470000
4,4/1/01,9877.16,10906.41,9375.72,10734.97,10734.97,5241100000
5,4/30/01,10734.05,11350.05,10673.22,10911.94,10911.94,4518100000
6,5/31/01,10913.57,11196.53,10394.72,10502.4,10502.4,4914500000
7,6/30/01,10504.95,10679.12,10120.89,10522.81,10522.81,4605880000
8,7/31/01,10527.38,10609.65,9869.14,9949.75,9949.75,4083400000
9,8/31/01,9946.98,10182.38,8062.34,8847.56,8847.56,5555020000
10,9/30/01,8845.97,9598.17,8732.14,9075.14,9075.14,5722030000
11,11/1/01,9087.45,9992.79,9014.46,9851.56,9851.56,4722560000
12,12/1/01,9848.93,10184.45,9703.9,10021.57,10021.57,4302710000
13,1/1/02,10021.71,10300.15,9529.46,9920,9920,4955760000
14,2/1/02,9923.04,10255.24,9580.32,10106.13,10106.13,4651890000
15,3/1/02,10111.04,10673.1,10111.04,10403.94,10403.94,4589750000
16,4/1/02,10402.07,10402.07,9811.57,9946.22,9946.22,5111860000
17,4/30/02,9944.9,10353.43,9802.23,9925.25,9925.25,4800810000
18,5/31/02,9923.94,9986.49,8926.57,9243.26,9243.26,5783720000
19,6/30/02,9239.25,9410.38,7532.66,8736.59,8736.59,7714600000
20,7/31/02,8732.58,9077.01,8030.82,8663.5,8663.5,5591350000
21,8/31/02,8659.27,8726.9,7460.78,7591.93,7591.93,5601800000
22,9/30/02,7593.04,8558.63,7197.49,8397.03,8397.03,7498850000
23,11/1/02,8395.64,8950.33,8298.68,8896.09,8896.09,5410370000
24,12/1/02,8902.95,9043.37,8242.91,8341.63,8341.63,4607200000
25,1/1/03,8342.38,8869.29,7917.16,8053.81,8053.81,5426600000
26,2/1/03,8053.74,8152.53,7628.99,7891.08,7891.08,4418320000
27,3/1/03,7890.24,8522.18,7416.64,7992.13,7992.13,5616290000
28,4/1/03,7992.83,8559.77,7979.69,8480.09,8480.09,5128590000
29,4/30/03,8478.48,8868.33,8340.23,8850.26,8850.26,4686280000
30,5/31/03,8851.45,9352.77,8851.45,8985.44,8985.44,4987850000
31,6/30/03,8983.66,9361.4,8871.2,9233.8,9233.8,4911390000
32,7/31/03,9232.68,9499.97,8997.11,9415.82,9415.82,3853760000
33,8/31/03,9416.67,9686.08,9230.47,9275.06,9275.06,4385460000
34,9/30/03,9276.8,9850.01,9276.8,9801.12,9801.12,4840970000
35,11/1/03,9802.46,9903.57,9585.5,9782.46,9782.46,3548520000
36,12/1/03,9785.35,10462.44,9785.35,10453.92,10453.92,4246080000
37,1/1/04,10452.74,10705.18,10367.41,10488.07,10488.07,4380510000
38,2/1/04,10487.78,10753.63,10434.67,10583.92,10583.92,3894640000
39,3/1/04,10582.25,10695.55,10007.49,10357.7,10357.7,5009640000
40,4/1/04,10357.52,10570.81,10219.18,10225.57,10225.57,4530000000
41,4/30/04,10227.27,10386.32,9852.19,10188.45,10188.45,4016800000
42,5/31/04,10187.18,10498.67,10134.86,10435.48,10435.48,4111110000
43,6/30/04,10434,10448.09,9913.92,10139.71,10139.71,4452180000
44,7/31/04,10138.45,10211.25,9783.91,10173.92,10173.92,3756550000
45,8/31/04,10170.12,10363.36,9977.92,10080.27,10080.27,4638370000
46,9/30/04,10082.04,10270.37,9708.4,10027.47,10027.47,5292920000
47,11/1/04,10028.73,10602.85,10010.15,10428.02,10428.02,5666600000
