Index,Date,Open,High,Low,Close,Adj Close,Volume
15,3/1/02,2.38125,2.7375,2.125,2.525,1.700083,67973600
16,4/1/02,2.50625,2.54375,2.22125,2.38125,1.603296,38514400
17,5/1/02,2.4125,3.0375,2.4125,3.02375,2.035892,57492000
18,6/1/02,3.02375,3.02375,2.295,2.62375,1.766571,25928800
19,7/1/02,2.6125,2.62375,1.7875,2.1875,1.472844,35183200
20,8/1/02,2.175,2.74875,1.73125,2.6,1.75058,45069600
21,9/1/02,2.6,2.76875,2.30375,2.55625,1.721124,26416800
22,10/1/02,2.55625,2.625,2.15875,2.2375,1.506509,52540800
23,11/1/02,2.2375,2.61875,2.1125,2.325,1.565423,49728800
24,12/1/02,2.375,2.46875,1.115,1.225,0.824793,137855200
25,1/1/03,1.225,1.36,1.0625,1.0625,0.715381,83078400
26,2/1/03,1.075,1.3475,0.9375,1.3125,0.883706,66864000
27,3/1/03,1.31875,1.5625,1.28125,1.5,1.00995,56868800
28,4/1/03,1.50125,1.67,1.48125,1.49375,1.005742,38377600
29,5/1/03,1.49375,1.735,1.385,1.56625,1.054556,98252000
30,6/1/03,1.56875,1.7775,1.5575,1.615,1.08738,60634400
31,7/1/03,1.63125,1.85625,1.59375,1.7,1.14461,56802400
32,8/1/03,1.70125,2.12375,1.565,2.07875,1.399623,67335200
33,9/1/03,2.09375,2.28125,1.95625,1.9875,1.338184,63620800
34,10/1/03,1.9875,2.38125,1.96125,2.1025,1.415614,52070400
35,11/1/03,2.0075,2.2,1.88,2.01875,1.359224,63336800
36,12/1/03,2.04375,2.04375,1.76625,1.92625,1.296944,49892800
37,1/1/04,1.975,2.3625,1.88125,2.075,1.397098,55928000
38,2/1/04,2.12625,2.37125,2.00875,2.33125,1.569631,39747200
39,3/1/04,2.33125,2.3425,2.06125,2.2525,1.516609,40265600
40,4/1/04,2.25,2.34125,2.1725,2.20125,1.482102,22870400
41,5/1/04,2.19625,2.30625,1.89375,1.9525,1.314618,42941600
42,6/1/04,1.9525,2.035,1.80875,1.9025,1.280954,58974400
43,7/1/04,1.9025,1.99,1.79625,1.925,1.296103,37876800
44,8/1/04,1.915,2.2025,1.80875,2.095,1.410564,38278400
45,9/1/04,2.095,2.34375,2.095,2.31375,1.557848,26284000
46,10/1/04,2.3175,2.5575,2.275,2.44875,1.648744,61368000
47,11/1/04,2.45,2.93875,2.45,2.63625,1.774987,162772800
48,12/1/04,2.64875,2.825,2.55625,2.795,1.881874,70560000
49,1/1/05,2.86875,2.86875,2.32,2.38625,1.606662,100608000
50,2/1/05,2.38125,2.5075,2.31625,2.42625,1.633595,38334400
51,3/1/05,2.45,2.9525,2.425,2.77,1.865041,89470400
52,4/1/05,2.80125,3.2125,2.5925,3.07625,2.07124,153875200
53,5/1/05,3.0875,3.89125,3.0775,3.645,2.454179,117556800
54,6/1/05,3.65,4.2875,3.61,4.08875,2.752955,143957600
55,7/1/05,4.08875,4.52125,3.99625,4.29375,2.890983,87517600
56,8/1/05,4.31875,4.3925,3.575,4.21875,2.840485,169327200
57,9/1/05,4.2125,4.80125,3.83125,3.93375,2.648594,144669600
58,10/1/05,3.97,4.675,3.74375,4.435,2.986086,287721600
59,11/1/05,4.43375,4.77375,4.15375,4.205,2.831227,297994400
60,12/1/05,4.205,4.45625,3.775,3.9775,2.678051,260856800
