Index,Date,Open,High,Low,Close,Adj Close,Volume
1,1/1/01,2474.16,2892.36,2251.71,2772.73,2772.73,49399780000
2,2/1/01,2771.57,2796.89,2127.5,2151.83,2151.83,36428040000
3,3/1/01,2126.3,2243.78,1794.21,1840.26,1840.26,44719260000
4,4/1/01,1835.22,2202.86,1619.58,2116.24,2116.24,42649960000
5,4/30/01,2116.24,2328.05,2052.41,2110.49,2110.49,41465750000
6,5/31/01,2131.12,2264.58,1973.7,2160.54,2160.54,36577380000
7,6/30/01,2156.76,2181.05,1934.67,2027.13,2027.13,32812530000
8,7/31/01,2051.56,2103.16,1777.11,1805.43,1805.43,32437350000
9,8/31/01,1802.29,1836.19,1387.06,1498.8,1498.8,30829450000
10,9/30/01,1491.45,1792.87,1458.41,1690.2,1690.2,43885890000
11,11/1/01,1705.52,1965.09,1683.99,1930.58,1930.58,38324730000
12,12/1/01,1915.13,2065.69,1898.98,1950.4,1950.4,35539380000
13,1/1/02,1965.18,2098.88,1851.49,1934.03,1934.03,39095980000
14,2/1/02,1928.83,1942.15,1696.55,1731.49,1731.49,34022690000
15,3/1/02,1745.49,1946.23,1742.08,1845.35,1845.35,34619370000
16,4/1/02,1834.59,1865.37,1640.97,1688.23,1688.23,38648510000
17,4/30/02,1683.76,1759.33,1560.29,1615.73,1615.73,39802810000
18,5/31/02,1613.5,1621.5,1375.53,1463.21,1463.21,36638230000
19,6/30/02,1457.04,1459.84,1192.42,1328.26,1328.26,45237670000
20,7/31/02,1322.47,1426.76,1205.68,1314.85,1314.85,31490760000
21,8/31/02,1302.67,1347.27,1160.07,1172.06,1172.06,29029680000
22,9/30/02,1180.26,1347.58,1108.49,1329.75,1329.75,38730160000
23,11/1/02,1320.95,1497.44,1313.72,1478.78,1478.78,35673650000
24,12/1/02,1507.94,1521.44,1327.19,1335.51,1335.51,29122630000
25,1/1/03,1346.93,1467.35,1303.64,1320.91,1320.91,30898030000
26,2/1/03,1324.74,1352.07,1261.79,1337.52,1337.52,24374040000
27,3/1/03,1344.21,1425.73,1253.22,1341.17,1341.17,31136990000
28,4/1/03,1347.54,1482.49,1338.23,1464.31,1464.31,30761430000
29,4/30/03,1463,1599.92,1451.32,1595.91,1595.91,38423310000
30,5/31/03,1612.1,1686.1,1584.7,1622.8,1622.8,41170990000
31,6/30/03,1617.3,1776.1,1598.92,1735.02,1735.02,38212570000
32,7/31/03,1731.63,1813.82,1640.88,1810.45,1810.45,30294060000
33,8/31/03,1817.92,1913.74,1783.46,1786.94,1786.94,39917180000
34,9/30/03,1797.07,1966.87,1796.09,1932.21,1932.21,41226870000
35,11/1/03,1941.31,1992.27,1878.07,1960.26,1960.26,34049930000
36,12/1/03,1972.97,2015.23,1887.46,2003.37,2003.37,35470880000
37,1/1/04,2011.08,2153.83,1999.77,2066.15,2066.15,45972690000
38,2/1/04,2072.13,2094.92,1991.05,2029.82,2029.82,35916840000
