Date,Open,High,Low,Close*,Adj Close**,Volume
2023-02-17,4077.39,4081.51,4047.95,4079.09,4079.09,2380094000.00
2023-02-01,4070.07,4195.44,4037.20,4079.09,4079.09,55480380000.00
2023-01-01,3853.29,4094.21,3794.33,4076.60,4076.60,80763810000.00
2022-12-01,4087.14,4100.96,3764.49,3839.50,3839.50,85249330000.00
2022-10-31,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000.00
2022-09-30,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000.00
2022-08-31,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000.00
2022-07-31,4112.38,4325.28,3954.53,3955.00,3955.00,92252350000.00
2022-06-30,3781.00,4140.15,3721.56,4130.29,4130.29,81688320000.00
2022-05-31,4149.78,4177.51,3636.87,3785.38,3785.38,106116710000.00
2022-04-30,4130.61,4307.66,3810.32,4132.15,4132.15,108860390000.00
2022-03-31,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000.00
2022-03-01,4363.14,4637.30,4157.87,4530.41,4530.41,123546260000.00
2022-02-01,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000.00
2022-01-01,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000.00
2021-12-01,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000.00
2021-10-31,4610.62,4743.83,4560.00,4567.00,4567.00,88268840000.00
2021-09-30,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000.00
2021-08-31,4528.80,4545.85,4305.91,4307.54,4307.54,85528860000.00
2021-07-31,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000.00
2021-06-30,4300.73,4429.97,4233.13,4395.26,4395.26,84255620000.00
2021-05-31,4216.52,4302.43,4164.40,4297.50,4297.50,102544180000.00
2021-04-30,4191.98,4238.04,4056.88,4204.11,4204.11,88321860000.00
2021-03-31,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000.00
2021-03-01,3842.51,3994.41,3723.34,3972.89,3972.89,122371150000.00
2021-02-01,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000.00
2021-01-01,3764.61,3870.90,3662.71,3714.24,3714.24,106117800000.00
2020-12-01,3645.87,3760.20,3633.40,3756.07,3756.07,96375680000.00
2020-10-31,3296.20,3645.99,3279.74,3621.63,3621.63,101247180000.00
2020-09-30,3385.87,3549.85,3233.94,3269.96,3269.96,89938980000.00
2020-08-31,3507.44,3588.11,3209.45,3363.00,3363.00,92310780000.00
2020-07-31,3288.26,3514.77,3284.53,3500.31,3500.31,82466520000.00
2020-06-30,3105.92,3279.99,3101.17,3271.12,3271.12,96928130000.00
2020-05-31,3038.78,3233.13,2965.66,3100.29,3100.29,131458880000.00
2020-04-30,2869.09,3068.67,2766.64,3044.31,3044.31,107135190000.00
2020-03-31,2498.08,2954.86,2447.49,2912.43,2912.43,123608160000.00
2020-03-01,2974.28,3136.72,2191.86,2584.59,2584.59,162185380000.00
2020-02-01,3235.66,3393.52,2855.84,2954.22,2954.22,84436590000.00
2020-01-01,3244.67,3337.77,3214.64,3225.52,3225.52,77287980000.00
2019-12-01,3143.85,3247.93,3070.33,3230.78,3230.78,72325540000.00
2019-10-31,3050.72,3154.26,3050.72,3140.98,3140.98,72410620000.00
2019-09-30,2983.69,3050.10,2855.94,3037.56,3037.56,77720640000.00
2019-08-31,2909.01,3021.99,2891.85,2976.74,2976.74,74178980000.00
2019-07-31,2980.32,3013.59,2822.12,2926.46,2926.46,80269220000.00
2019-06-30,2971.41,3027.98,2952.22,2980.38,2980.38,70599470000.00
2019-05-31,2751.53,2964.15,2728.81,2941.76,2941.76,71250630000.00
2019-04-30,2952.33,2954.13,2750.52,2752.06,2752.06,77250740000.00
2019-03-31,2848.63,2949.52,2848.63,2945.83,2945.83,70090370000.00
