Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,11.7,11.7,11.06,11.17,11.17,0
1985-02-01,11.29,11.91,11.29,11.91,11.91,0
1985-03-01,11.86,12.02,11.65,11.65,11.65,0
1985-04-01,11.66,11.77,11.13,11.41,11.41,0
1985-05-01,11.27,11.29,10.28,10.28,10.28,0
1985-06-01,10.05,10.54,9.83,10.25,10.25,0
1985-07-01,10.19,10.67,9.93,10.57,10.57,0
1985-08-01,10.51,10.66,10.1,10.28,10.28,0
1985-09-01,10.24,10.52,10.16,10.31,10.31,0
1985-10-01,10.29,10.42,9.97,10.01,10.01,0
1985-11-01,9.98,9.98,9.58,9.59,9.59,0
1985-12-01,9.69,9.69,8.99,9,9,0
1986-01-01,9.04,9.49,8.94,9.08,9.08,0
1986-02-01,9.02,9.11,8.13,8.13,8.13,0
1986-03-01,7.99,8.12,7.39,7.39,7.39,0
1986-04-01,7.37,7.58,6.98,7.38,7.38,0
1986-05-01,7.45,8.05,7.4,8.05,8.05,0
1986-06-01,8.32,8.39,7.35,7.35,7.35,0
1986-07-01,7.37,7.53,7.14,7.34,7.34,0
1986-08-01,7.34,7.47,6.95,6.95,6.95,0
1986-09-01,7.03,7.67,7.03,7.45,7.45,0
1986-10-01,7.41,7.66,7.28,7.34,7.34,0
1986-11-01,7.29,7.4,7.11,7.15,7.15,0
1986-12-01,7.18,7.23,7.01,7.23,7.23,0
1987-01-01,7.18,7.18,7.01,7.18,7.18,0
1987-02-01,7.23,7.37,7.18,7.19,7.19,0
1987-03-01,7.17,7.54,7.14,7.51,7.51,0
1987-04-01,7.59,8.47,7.54,8.21,8.21,0
1987-05-01,8.39,8.92,8.39,8.49,8.49,0
1987-06-01,8.45,8.72,8.23,8.38,8.38,0
1987-07-01,8.36,8.66,8.28,8.66,8.66,0
1987-08-01,8.81,9.02,8.56,9,9,0
1987-09-01,9.05,9.64,9.05,9.63,9.63,0
1987-10-01,9.66,10.23,8.8,8.88,8.88,0
1987-11-01,8.98,9.11,8.72,8.99,8.99,0
1987-12-01,9.01,9.28,8.78,8.83,8.83,0
1988-01-01,8.83,8.97,8.26,8.26,8.26,0
1988-02-01,8.26,8.32,8.11,8.16,8.16,0
1988-03-01,8.15,8.58,8.12,8.57,8.57,0
